repository,commit_hash,author,date,green_aware,patterns_matched,pattern_count,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,total_nloc,total_complexity
ant-design/ant-design-mobile,dff971d56c83c4045cce0469ce01464fc7447eb8,Colder Xihk,2020-01-13T10:24:40+08:00,True,"Defer Offscreen Images, Properly Sized Images, Serve Images in Modern Formats",3,1,12,7,,,19,4
ant-design/ant-design-mobile,cff2c112339db139d2652761e1cead6d6d88f3ae,lzghost,2020-02-20T09:24:38+08:00,False,Enable Text Compression,1,1,1,1,,,250,51
ant-design/ant-design-mobile,36939b2d615101a5af19d0160a16c4a4111fd452,毒枭东,2020-05-14T12:01:16+08:00,False,"Delete Unused Storage Resources, Remove Unused Assets, Scale Down Unused Applications",3,3,22,12,,,35,0
ant-design/ant-design-mobile,cbcce5cb1e072f39ffd8adadef5a9f0c7919442f,duxiaodong,2020-05-14T13:50:24+08:00,False,,0,3,15,1,,,0,0
ant-design/ant-design-mobile,a74013b8dabe6b98649d48cb49779ae20f62e0e6,毒枭东,2020-05-19T16:20:10+08:00,False,,0,2,5,5,,,518,43
ant-design/ant-design-mobile,2b7436044ca2f381b9084ed74e319fe7620b4d97,duxiaodong,2020-05-19T16:26:13+08:00,False,,0,3,15,1,,,0,0
ant-design/ant-design-mobile,be9d6f5cc7a914f04f386d19cc487eddfc5a274e,毒枭东,2020-09-18T11:35:20+08:00,True,Queue Non-Urgent Requests,1,1,4,1,,,0,0
ant-design/ant-design-mobile,ad3630c295a3bb1a9b7cebb9d9cc9dab8966efa6,duxiaodong,2020-09-18T14:55:46+08:00,False,,0,1,1,1,,,0,0
ant-design/ant-design-mobile,a7362c677447ddeadda964ac162311a6be4e0866,duxiaodong,2020-09-18T14:59:50+08:00,False,,0,2,14,0,,,0,0
lichess-org/mobile,b55a6f65aa5a721aab45d9f16bf6ce0771e94da9,Thibault Duplessis,2022-05-01T12:26:51+02:00,False,,0,3,697,0,,,0,0
lichess-org/mobile,5b3579d4f57a7c3070d7a9a92bed2aee702b8146,Thibault Duplessis,2022-05-01T12:27:25+02:00,False,,0,1,3,2,,,0,0
lichess-org/mobile,38ddcfe8c3a707f907d5bcbea29e61adf1375560,Vincent Velociter,2022-11-03T15:38:36+01:00,False,,0,63,1519,0,1.0,1.0,16,2
lichess-org/mobile,9b89172bfd5bb47446e9425c99bdc3c2b65bd4e9,Vincent Velociter,2022-11-03T15:59:04+01:00,False,,0,37,93,81,,,0,0
lichess-org/mobile,6080d6db1ed204d50e4184a6719e2aaff1fe2663,Vincent Velociter,2022-11-03T17:31:02+01:00,False,,0,21,13,4,,,0,0
lichess-org/mobile,dceffb224c806082d57216d5ab83cd0bc22b0ce9,Michal Srutek,2022-11-07T07:55:45+01:00,False,"Match VM Utilization Requirements, Avoid Excessive DOM Size, Properly Sized Images",3,22,9,129,,,0,0
lichess-org/mobile,e4fc8ae113d555199a4cf9b9a5d526d382cf2138,Vincent Velociter,2022-11-07T19:28:54+01:00,False,,0,14,493,200,,,0,0
lichess-org/mobile,6dbfe5b467b627a6cbd11ac70652772385e23a05,Vincent Velociter,2022-11-08T05:39:49+01:00,False,,0,3,3,2,,,0,0
lichess-org/mobile,631601b912da484aaf56407deaaed8e44199bff6,Vincent Velociter,2022-11-08T14:21:54+01:00,False,Incremental Processing,1,7,105,2,,,0,0
lichess-org/mobile,e200d61e868aa8bfbcff9a8e3898689917508462,Vincent Velociter,2022-11-08T15:41:58+01:00,False,,0,9,24,14,,,0,0
