repository,repo_url,commit_hash,author,date,message,green_aware,patterns_matched,pattern_count,confidence,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_nloc,total_complexity,methods_count,energy_joules
S2-group/UPISAS,https://github.com/S2-group/UPISAS,1765a4c79455e03f809bbcb01e64ba20c9c595c3,Ilias Gerostathopoulos,2023-10-30T17:55:39+01:00,adding start_run method to exemplar,False,,0,low,1,5,1,1.0,1.0,1.0,110,26,7,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,fb123a599c2b607234287aeaaeb6876f5dbd45c8,Jorit de Weerdt,2023-11-18T21:19:50+01:00,Adjust docker daemon error message,True,Containerize Your Workload,1,medium,2,4,5,1.0,1.0,1.0,121,26,7,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,e890d10aa70279d23cbff4362aca4a931a2d580d,Jorit de Weerdt,2023-11-18T21:30:59+01:00,Remove DockerDaemon exception,True,"Containerize Your Workload, Delete Unused Storage Resources, Remove Unused Assets",3,high,2,4,7,1.0,1.0,1.0,118,26,7,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,6e0e19b6187c868d3c5958372a980c3c83196759,Qi-Mo Lin,2023-11-29T21:09:54+01:00,fix execute strategy,False,,0,low,1,5,2,,,,68,18,11,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,3331f3c79a9ece0e838eeb1e1d2e3badf266a406,Ilias Gerostathopoulos,2024-10-28T15:15:18+02:00,"Revert ""fix execute strategy""",False,,0,low,1,2,5,,,,68,18,11,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,d6719aaf957abbe68c6b5622d7b34d20f5b79cca,EGAlberts,2024-10-28T18:53:05+01:00,first attempt experiment_runner integration,False,,0,low,9,363,108,0.46564885496183206,0.732824427480916,0.9694656488549618,318,70,29,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,4ac123c4514fb2437f56a7bd87aa76aec8ef2b8c,Ilias Gerostathopoulos,2024-10-28T21:34:35+01:00,fixing path to experiment runner,False,,0,low,1,1,1,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,776352167f393ff5f6cbfe2b8723f7c66a2f2d38,Ilias Gerostathopoulos,2024-10-28T21:35:03+01:00,updating README with instuctions to use experiment runner,False,,0,low,2,12,6,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,943abefb129e61653f71b41f4b8a4f61bdd5f03b,Ilias Gerostathopoulos,2024-10-28T21:36:41+01:00,fixing broken tests,False,,0,low,2,10,10,1.0,1.0,0.0,220,41,35,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,bdc866b6c149c38d2ffcc1f9330928b3451932a2,Ilias Gerostathopoulos,2024-10-28T21:43:33+01:00,git ignoring experiments folder where experiments results are stored,False,Compress Stored Data,1,medium,1,1,0,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,63d7b6606fc04c447cfa9957339e07be5c053757,Elvin,2024-11-05T15:45:32+01:00,Update README.md,False,,0,low,1,2,2,,,,0,0,0,
